atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,FS,RB,PE,FC,G,FF,FT,FD,DD,GS,SG,A,CA,I,CV,PP,GC,DP,
ata,262,83257,8,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,1.3,15.79,-2.54,6.67,Flamengo,8,2,15,4,4,6,0,6,0,0,0,0,1,5,0,0,0,0,23
ata,262,83257,9,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,14.3,18.25,2.46,7.76,Flamengo,9,4,16,4,5,10,0,8,0,0,0,0,2,6,0,0,0,0,470
ata,262,83257,10,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,31,22.68,4.43,10.66,Flamengo,9,5,20,5,7,12,0,11,0,0,0,2,2,6,0,0,0,0,373
ata,262,83257,11,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,7.5,19.61,-3.07,10.31,Flamengo,10,5,20,7,8,12,0,11,0,0,0,2,2,6,0,0,0,0,14
ata,262,83257,12,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Contundido,5.2,19.12,-0.49,9.8,Flamengo,10,5,22,9,9,13,0,11,0,0,0,2,3,6,0,0,0,0,671
ata,262,83257,13,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Contundido,0,19.12,0,9.8,Flamengo,10,5,22,9,9,13,0,11,0,0,0,2,3,6,0,0,0,0,294
ata,262,83257,14,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,0,19.12,0,9.8,Flamengo,10,5,22,9,9,13,0,11,0,0,0,2,3,6,0,0,0,0,291
ata,262,83257,15,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,19,21.72,2.6,10.64,Flamengo,10,5,24,9,11,13,0,14,0,0,0,2,3,6,0,0,0,0,421
ata,262,83257,16,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,9,20.3,-1.42,10.5,Flamengo,10,5,25,9,12,15,0,15,0,0,0,2,3,9,0,0,0,0,356
ata,262,83257,17,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,15.4,21.71,1.41,10.88,Flamengo,10,5,27,9,14,15,0,15,0,0,0,2,3,9,0,0,0,0,311
ata,262,83257,18,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,11.7,21.42,-0.29,10.94,Flamengo,11,5,29,9,15,16,0,15,0,0,0,3,4,9,0,0,0,0,695
ata,262,83257,19,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,8.5,20.99,-0.43,10.78,Flamengo,14,5,31,9,16,18,0,15,0,0,0,3,5,9,0,0,0,0,348
ata,262,83257,20,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,11.1,21.5,0.51,10.8,Flamengo,15,5,34,10,17,20,0,17,0,0,0,3,5,9,0,0,0,0,376
ata,262,83257,21,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,9.1,21.43,-0.07,10.7,Flamengo,16,5,34,12,18,22,0,17,0,0,0,3,5,9,0,0,0,0,327
ata,262,83257,22,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Suspenso,-3.1,19.48,-1.95,9.93,Flamengo,16,5,35,14,18,22,0,18,0,0,0,3,6,11,0,0,0,0,552
ata,262,83257,23,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Suspenso,0,19.48,0,9.93,Flamengo,16,5,35,14,18,22,0,18,0,0,0,3,6,11,0,0,0,0,291
ata,262,83257,25,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,0,19.48,0,9.93,Flamengo,16,5,35,14,18,22,0,18,0,0,0,3,6,11,0,0,0,0,313
ata,262,83257,26,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,7.7,20.59,1.11,9.81,Flamengo,16,7,36,14,19,22,0,18,0,0,0,3,7,13,0,0,0,0,331
ata,262,83257,27,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,2.9,19.91,-0.68,9.46,Flamengo,19,8,37,16,19,23,0,20,0,0,0,3,8,13,0,0,0,0,314
ata,262,83257,28,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,5.5,20.03,0.12,9.27,Flamengo,19,8,40,16,19,25,0,24,0,0,0,3,8,13,0,0,0,0,536
ata,262,83257,29,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Suspenso,8.9,20.84,0.81,9.25,Flamengo,20,8,41,17,20,26,0,26,0,0,0,3,9,13,0,0,0,0,439
