nome_clube,id_clube,rodada,mando
sao_paulo,276,26,0
corinthians,264,26,0
flamengo,262,26,0
atletico_pr,293,26,0
ceara,354,26,0
bahia,265,26,0
internacional,285,26,0
atletico_mg,282,26,0
botafogo,263,26,0
gremio,284,26,1
fluminense,266,26,1
fortaleza,356,26,1
vasco,267,26,1
chapecoense,315,26,0
cruzeiro,283,26,1
goias,290,26,1
avai,314,26,1
csa,341,26,1
palmeiras,275,27,0
santos,277,27,0
sao_paulo,276,27,1
corinthians,264,27,1
flamengo,262,27,1
atletico_pr,293,27,1
ceara,354,27,0
bahia,265,27,1
internacional,285,27,1
atletico_mg,282,27,1
botafogo,263,27,1
gremio,284,27,0
fluminense,266,27,0
fortaleza,356,27,1
vasco,267,27,0
chapecoense,315,27,1
cruzeiro,283,27,0
goias,290,27,0
avai,314,27,0
csa,341,27,0
palmeiras,275,28,0
santos,277,28,0
sao_paulo,276,28,1
corinthians,264,28,1
flamengo,262,28,1
atletico_pr,293,28,1
ceara,354,28,1
bahia,265,28,1
internacional,285,28,0
atletico_mg,282,28,0
botafogo,263,28,0
gremio,284,28,1
fluminense,266,28,1
fortaleza,356,28,0
vasco,267,28,0
chapecoense,315,28,0
cruzeiro,283,28,1
goias,290,28,0
avai,314,28,1
csa,341,28,0
palmeiras,275,29,1
santos,277,29,1
sao_paulo,276,29,0
corinthians,264,29,0
flamengo,262,29,0
atletico_pr,293,29,0
ceara,354,29,1
bahia,265,29,0
internacional,285,29,1
atletico_mg,282,29,1
botafogo,263,29,1
gremio,284,29,0
fluminense,266,29,0
fortaleza,356,29,0
vasco,267,29,1
chapecoense,315,29,0
cruzeiro,283,29,0
goias,290,29,1
avai,314,29,1
csa,341,29,1
palmeiras,275,30,1
santos,277,30,1
sao_paulo,276,30,0
corinthians,264,30,0
flamengo,262,30,1
atletico_pr,293,30,1
ceara,354,30,0
bahia,265,30,0
internacional,285,30,0
atletico_mg,282,30,0
botafogo,263,30,0
gremio,284,30,1
fluminense,266,30,1
fortaleza,356,30,1
vasco,267,30,0
chapecoense,315,30,1
cruzeiro,283,30,1
goias,290,30,1
avai,314,30,0
csa,341,30,0
palmeiras,275,31,0
santos,277,31,0
sao_paulo,276,31,1
corinthians,264,31,1
flamengo,262,31,0
atletico_pr,293,31,1
ceara,354,31,1
bahia,265,31,1
internacional,285,31,0
atletico_mg,282,31,1
botafogo,263,31,1
gremio,284,31,1
fluminense,266,31,0
fortaleza,356,31,0
vasco,267,31,1
chapecoense,315,31,0
cruzeiro,283,31,0
goias,290,31,0
avai,314,31,1
csa,341,31,0
palmeiras,275,32,1
santos,277,32,0
sao_paulo,276,32,1
corinthians,264,32,0
flamengo,262,32,1
atletico_pr,293,32,0
ceara,354,32,0
bahia,265,32,0
internacional,285,32,1
atletico_mg,282,32,0
botafogo,263,32,1
gremio,284,32,0
fluminense,266,32,0
fortaleza,356,32,1
vasco,267,32,0
chapecoense,315,32,1
cruzeiro,283,32,1
goias,290,32,1
avai,314,32,0
csa,341,32,1
palmeiras,275,33,0
santos,277,33,1
sao_paulo,276,33,0
corinthians,264,33,1
flamengo,262,33,0
atletico_pr,293,33,1
ceara,354,33,0
bahia,265,33,1
internacional,285,33,0
atletico_mg,282,33,0
botafogo,263,33,0
gremio,284,33,1
fluminense,266,33,1
fortaleza,356,33,1
vasco,267,33,1
chapecoense,315,33,1
cruzeiro,283,33,1
goias,290,33,0
avai,314,33,0
csa,341,33,0
palmeiras,275,34,1
santos,277,34,1
sao_paulo,276,34,0
corinthians,264,34,0
flamengo,262,34,1
atletico_pr,293,34,0
ceara,354,34,1
bahia,265,34,0
internacional,285,34,1
atletico_mg,282,34,1
botafogo,263,34,1
gremio,284,34,0
fluminense,266,34,0
fortaleza,356,34,0
vasco,267,34,0
chapecoense,315,34,0
cruzeiro,283,34,0
goias,290,34,1
avai,314,34,1
csa,341,34,1
palmeiras,275,35,0
santos,277,35,0
sao_paulo,276,35,1
corinthians,264,35,1
flamengo,262,35,1
atletico_pr,293,35,1
ceara,354,35,0
bahia,265,35,1
internacional,285,35,1
atletico_mg,282,35,0
botafogo,263,35,0
gremio,284,35,0
fluminense,266,35,1
fortaleza,356,35,1
vasco,267,35,0
chapecoense,315,35,1
cruzeiro,283,35,1
goias,290,35,0
avai,314,35,0
csa,341,35,0
palmeiras,275,36,1
santos,277,36,1
sao_paulo,276,36,0
corinthians,264,36,0
flamengo,262,36,0
atletico_pr,293,36,0
ceara,354,36,1
bahia,265,36,0
internacional,285,36,0
atletico_mg,282,36,1
botafogo,263,36,1
gremio,284,36,1
fluminense,266,36,0
fortaleza,356,36,0
vasco,267,36,1
chapecoense,315,36,0
cruzeiro,283,36,0
goias,290,36,1
avai,314,36,1
csa,341,36,1
palmeiras,275,37,1
santos,277,37,0
sao_paulo,276,37,1
corinthians,264,37,0
flamengo,262,37,1
atletico_pr,293,37,1
ceara,354,37,1
bahia,265,37,1
internacional,285,37,0
atletico_mg,282,37,1
botafogo,263,37,0
gremio,284,37,1
fluminense,266,37,1
fortaleza,356,37,0
vasco,267,37,0
chapecoense,315,37,1
cruzeiro,283,37,0
goias,290,37,0
avai,314,37,0
csa,341,37,0
palmeiras,275,38,0
santos,277,38,1
sao_paulo,276,38,0
corinthians,264,38,1
flamengo,262,38,0
atletico_pr,293,38,0
ceara,354,38,0
bahia,265,38,0
internacional,285,38,1
atletico_mg,282,38,0
botafogo,263,38,1
gremio,284,38,0
fluminense,266,38,0
fortaleza,356,38,1
vasco,267,38,1
chapecoense,315,38,0
cruzeiro,283,38,1
goias,290,38,1
avai,314,38,1
csa,341,38,1
