atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,FS,DS,PI,FC,G,FF,FT,FD,DD,GS,SG,A,CA,I,CV,PP,GC,DP,,atletas.jogos_num
mei,6,84428,2,Fernando Pereira do Nascimento,fernando-sobral,Fernando Sobral,https://s.glbimg.com/es/sde/f/2019/03/28/2036fe932766e953f14ef5fc5ed37a53_FORMATO.png,Provável,4.4,9.21,2.11,5.6,Ceará,2,8,16,4,0,2,0,1,0,0,0,1,1,0,0,0,0,0,295,2
mei,6,94297,2,William Oliveira dos Santos,william-oliveira,William Oliveira,https://s.glbimg.com/es/sde/f/2020/03/02/39d250a4d190bffff7e9fbf0111d822b_FORMATO.png,Dúvida,1.2,2.75,-0.25,1.2,Ceará,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,304,1
mei,6,96342,1,Charles Rigon Mattos,charles,Charles,https://s.glbimg.com/es/sde/f/2020/03/02/2f897ea65a1bd1db59318a12e5c6d367_FORMATO.png,Provável,2.2,4.49,0.49,2.2,Ceará,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,1
mei,6,96342,2,Charles Rigon Mattos,charles,Charles,https://s.glbimg.com/es/sde/f/2020/03/02/2f897ea65a1bd1db59318a12e5c6d367_FORMATO.png,Provável,1.9,4.81,0.32,2.05,Ceará,0,6,12,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,309,2
mei,7,61033,1,Rodrigo Eduardo Costa Marinho,rodriguinho,Rodriguinho,https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png,Provável,0,17,0,0,Bahia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0
mei,7,61033,2,Rodrigo Eduardo Costa Marinho,rodriguinho,Rodriguinho,https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png,Provável,10.9,17.4,0.4,10.9,Bahia,4,0,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,88,1
mei,7,91102,1,Flávio Medeiros da Silva,flavio,Flávio,https://s.glbimg.com/es/sde/f/2020/07/23/2e933c61b3af3ba4cb2a4ddb6da0ce98_FORMATO.png,Provável,0,6,0,0,Bahia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0
mei,7,91102,2,Flávio Medeiros da Silva,flavio,Flávio,https://s.glbimg.com/es/sde/f/2020/07/23/2e933c61b3af3ba4cb2a4ddb6da0ce98_FORMATO.png,Provável,6.1,7.14,1.14,6.1,Bahia,2,6,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,360,1
mei,7,92981,1,Ronaldo da Silva Souza,ronaldo,Ronaldo,https://s.glbimg.com/es/sde/f/2020/07/20/dc33647201f8156e6ccfacd8ecd1cf1d_FORMATO.png,Provável,0,4,0,0,Bahia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0
mei,7,92981,2,Ronaldo da Silva Souza,ronaldo,Ronaldo,https://s.glbimg.com/es/sde/f/2020/07/20/dc33647201f8156e6ccfacd8ecd1cf1d_FORMATO.png,Provável,0.5,3.18,-0.82,0.5,Bahia,1,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,225,1
mei,7,93791,2,Daniel Sampaio Simões,daniel,Daniel,https://s.glbimg.com/es/sde/f/2020/02/28/a0c1c9f69e5607f8a09bca2e4d7b6bc8_FORMATO.png,Provável,1.8,3.76,-0.24,1.8,Bahia,2,1,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,231,1
mei,8,63289,1,Edenílson Andrade Dos Santos,edenilson,Edenílson,https://s.glbimg.com/es/sde/f/2020/02/27/dab4d223e4d736b3877f27a6b24a7a0e_FORMATO.png,Contundido,0,9,0,0,Internacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0
mei,8,63289,2,Edenílson Andrade Dos Santos,edenilson,Edenílson,https://s.glbimg.com/es/sde/f/2020/02/27/dab4d223e4d736b3877f27a6b24a7a0e_FORMATO.png,Provável,8.8,10.56,1.56,8.8,Internacional,2,0,12,2,1,2,0,2,0,0,0,0,1,0,0,0,0,0,402,1
mei,8,71844,1,Thiago Galhardo do Nascimento Rocha,thiago-galhardo,Thiago Galhardo,https://s.glbimg.com/es/sde/f/2020/02/27/58765e09575aeed485460352a0980dad_FORMATO.png,Provável,6.9,10.07,3.07,6.9,Internacional,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,376,1
mei,8,71844,2,Thiago Galhardo do Nascimento Rocha,thiago-galhardo,Thiago Galhardo,https://s.glbimg.com/es/sde/f/2020/02/27/58765e09575aeed485460352a0980dad_FORMATO.png,Provável,3.7,11.13,1.06,5.3,Internacional,3,5,10,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,418,2
mei,8,72362,1,Rodrigo Oliveira Lindoso,rodrigo-lindoso,Rodrigo Lindoso,https://s.glbimg.com/es/sde/f/2020/02/27/bc31f941c1bb5d6c26ada24af71bcf45_FORMATO.png,Provável,0.6,4.78,-1.22,0.6,Internacional,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,1
